# Model read finished. Duration 1.57694482803 
# Model validity check skipped
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# Modified CCPN DNA A prot:H1: no CING, DYANA, CYANA
# Modified CCPN DNA C prot:H3: no CING, DYANA, CYANA
# Modified CCPN DNA G prot:H7,H1
# Modified CCPN RNA A prot:H1
# Modified CCPN RNA C prot:H3
# Modified CCPN RNA G prot:H7,H1
# Modified CCPN protein Tyr deprot:HH: no CING, CYANA, DYANA
# Modified HOH: CING collumn contains H1, H2, O, QH
#
RESIDUE  CING -    CYANA2.1 -    DIANA -    IUPAC PLM  PDB_REMED PLM   CCPN other Plm neutral
ATOM   CING -       CYANA2.1 H5"     DIANA H5"     IUPAC H5''    PDB_REMED -        CCPN H5''
ATOM   CING -       CYANA2.1 Q5'     DIANA Q5'     IUPAC H5'*    PDB_REMED -        CCPN H5'*
ATOM   CING -       CYANA2.1 H6      DIANA H6      IUPAC H6      PDB_REMED -        CCPN H6
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H7*     PDB_REMED -        CCPN H7*
ATOM   CING -       CYANA2.1 H71     DIANA H71     IUPAC H71     PDB_REMED -        CCPN H71
ATOM   CING -       CYANA2.1 H72     DIANA H72     IUPAC H72     PDB_REMED -        CCPN H72
ATOM   CING -       CYANA2.1 H73     DIANA H73     IUPAC H73     PDB_REMED -        CCPN H73
ATOM   CING -       CYANA2.1 HO2'    DIANA HO2'    IUPAC HO2'    PDB_REMED -        CCPN HO2'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HOP2    PDB_REMED -        CCPN HOP2
ATOM   CING -       CYANA2.1 N1      DIANA N1      IUPAC N1      PDB_REMED -        CCPN N1
ATOM   CING -       CYANA2.1 N3      DIANA N3      IUPAC N3      PDB_REMED -        CCPN N3
ATOM   CING -       CYANA2.1 O2      DIANA O2      IUPAC O2      PDB_REMED -        CCPN O2
