443,1H,556
444,1H,98
447,1H,452
447,13C,358
447,15N,97
448,1H,126
449,13C,2
450,13C,1
451,13C,1
452,13C,1
453,13C,2
454,13C,2
455,13C,2
456,13C,2
457,13C,2
458,13C,2
459,13C,2
460,13C,2
461,13C,2
462,13C,2
463,13C,2
464,13C,2
465,13C,2
466,13C,2
467,13C,2
468,13C,1
469,13C,1
470,13C,2
471,13C,2
472,13C,2
473,13C,2
474,13C,2
475,13C,2
476,1H,161
477,1H,62
478,1H,3
478,15N,3
479,1H,2
479,15N,2
480,1H,241
481,1H,244
485,1H,52
485,15N,52
486,1H,28
486,13C,28
488,1H,45
489,1H,9
490,1H,86
491,1H,466
494,1H,120
495,1H,434
496,15N,104
497,13C,163
498,15N,7
499,1H,9
500,1H,9
505,1H,17
506,1H,3
507,13C,110
508,13C,37
509,1H,41
510,1H,40
511,1H,34
512,1H,42
513,1H,38
514,1H,34
515,1H,37
516,1H,58
517,1H,99
528,1H,128
529,1H,126
530,1H,93
530,13C,98
530,15N,6
531,1H,10
532,1H,10
537,13C,1
538,13C,1
539,13C,1
540,13C,1
541,13C,1
543,1H,10
544,1H,2
545,1H,12
546,1H,11
547,1H,303
547,13C,296
547,15N,147
548,1H,242
554,1H,119
555,1H,186
556,1H,8
557,1H,26
558,13C,1
559,13C,1
560,13C,1
561,13C,1
562,13C,1
563,13C,1
568,13C,20
569,1H,78
573,1H,6
595,1H,28
596,1H,11
597,1H,1
598,1H,1
599,1H,1
600,1H,4
606,1H,44
611,1H,9
613,1H,28
614,1H,1
623,1H,103
630,1H,19
644,1H,42
644,13C,12
645,1H,4
646,1H,4
647,1H,4
648,1H,4
649,1H,4
653,1H,28
660,1H,79
661,1H,19
662,13C,1
664,1H,81
665,1H,73
666,1H,64
667,1H,18
668,1H,14
672,1H,8
673,1H,8
674,1H,47
676,1H,21
677,1H,98
682,1H,71
695,1H,526
699,1H,222
700,1H,5
704,1H,24
705,1H,19
706,1H,20
707,1H,20
736,1H,7
749,1H,10
750,1H,73
753,1H,1
754,1H,162
758,1H,102
759,1H,393
760,1H,6
761,1H,4
779,1H,76
780,1H,216
781,1H,3
791,13C,87
810,1H,185
811,1H,16
812,1H,16
813,1H,16
814,1H,15
821,1H,9
822,1H,7
823,1H,11
824,1H,3
846,1H,8
848,1H,16
849,1H,14
862,1H,12
877,13C,1
878,13C,2
883,1H,2
884,1H,2
887,13C,1
888,1H,1
893,1H,1
907,13C,1
908,13C,2
909,13C,1
910,13C,4
911,13C,4
912,13C,1
913,13C,1
914,13C,1
915,1H,635
915,15N,166
916,1H,361
918,1H,4
919,1H,4
920,1H,4
922,1H,519
923,1H,504
932,1H,440
934,1H,64
936,1H,117
937,1H,148
939,1H,25
940,1H,25
944,1H,2
945,1H,1
946,13C,3
947,13C,2
948,1H,12
949,1H,10
956,1H,7
957,1H,3
960,1H,1
961,1H,1
962,1H,1
963,1H,1
964,1H,1
965,1H,1
966,1H,1
967,1H,1
968,1H,87
968,15N,82
969,1H,56
969,15N,56
970,1H,81
970,15N,77
971,1H,76
971,15N,74
975,1H,522
979,1H,482
994,1H,8
995,1H,27
996,1H,8
997,1H,27
998,1H,8
999,1H,27
1000,1H,8
1001,1H,27
1002,1H,8
1003,1H,27
1004,1H,8
1005,1H,27
1006,1H,8
1007,1H,27
1008,1H,8
1009,1H,27
1010,1H,8
1011,1H,27
1012,1H,8
1013,1H,27
1014,1H,8
1015,1H,27
1016,1H,8
1017,1H,19
1018,1H,8
1019,1H,15
1020,1H,8
1021,1H,20
1022,1H,8
1023,1H,11
1024,1H,4
1025,1H,26
1027,1H,7
1028,1H,7
1029,1H,7
1030,1H,7
1031,1H,5
1032,1H,5
1033,1H,5
1037,1H,501
1039,1H,2
1042,1H,1
1043,1H,1
1044,1H,1
1045,1H,1
1046,1H,132
1049,1H,2
1053,1H,1
1056,1H,1
1058,1H,3
1061,1H,755
1061,13C,532
1062,1H,753
1062,13C,530
1065,1H,216
1066,1H,21
1071,1H,224
